month,year,state,Deaths, Cases,so2,no2,rspm/pm,precipitation,population density, Number of Rural Hospitals (Govt.),Number of Urban Hospitals (Govt.),Birth Rate,% with toilets,Humidity,Average temp
Dec,2015,Manipur,0,6,4.591975555,7.800073929,13.31264229,0.1,128.0,217.0,8,14.6,57.50806929,79,14
Jan,2015,Mizoram,0,3,2.0,6.24742268,38.57731959,1.2,52.0,12.0,10,16.3,39.946,78,15
Feb,2015,Mizoram,0,2,2.022727273,5.943181817999999,38.32954545,21.0,52.0,12.0,10,16.3,39.946,69,16
Mar,2015,Mizoram,0,1,2.029126214,6.932038835,45.6407767,25.4,52.0,12.0,10,16.3,39.946,59,21
Apr,2015,Mizoram,0,1,2.039473684,7.815789474,44.86842105,49.6,52.0,12.0,10,16.3,39.946,62,24
May,2015,Mizoram,0,2,2.085365854,7.658536585,37.65853659,192.5,52.0,12.0,10,16.3,39.946,76,26
Jun,2015,Mizoram,0,4,2.036144578,6.78313253,27.27710843,268.3,52.0,12.0,10,16.3,39.946,85,26
Jul,2015,Mizoram,0,11,2.010869565,6.576086957,26.04347826,295.7,52.0,12.0,10,16.3,39.946,93,24
Aug,2015,Mizoram,0,29,2.0,6.1375,28.825,372.3,52.0,12.0,10,16.3,39.946,91,25
Sep,2015,Mizoram,0,56,2.0,5.53,29.92,300.9,52.0,12.0,10,16.3,39.946,88,25
Oct,2015,Mizoram,0,12,2.089108911,6.336633663,37.52475248,69.6,52.0,12.0,10,16.3,39.946,85,22
Nov,2015,Mizoram,0,5,2.066666667,6.877777778,47.23333333,3.3,52.0,12.0,10,16.3,39.946,79,18
Dec,2015,Mizoram,0,4,2.064814815,7.574074073999999,70.58333333,0.1,52.0,12.0,10,16.3,39.946,78,15
Jan,2015,Nagaland,0,9,2.0,5.0,154.9375,1.2,119.0,21.0,32,15.6,50.832,80,11
Feb,2015,Nagaland,0,6,2.0,5.0,160.125,21.0,119.0,21.0,32,15.6,50.832,73,12
Mar,2015,Nagaland,0,3,2.0,5.0,152.02777780000002,25.4,119.0,21.0,32,15.6,50.832,65,16
Apr,2015,Nagaland,0,3,2.0,5.0,102.86111109999999,49.6,119.0,21.0,32,15.6,50.832,78,18
May,2015,Nagaland,0,6,2.0,5.0,83.3125,192.5,119.0,21.0,32,15.6,50.832,78,20
Jun,2015,Nagaland,0,12,2.0,5.0,59.91666667,268.3,119.0,21.0,32,15.6,50.832,88,22
Jul,2015,Nagaland,0,30,2.0,10.0,62.05555556,295.7,119.0,21.0,32,15.6,50.832,92,21
Aug,2015,Nagaland,0,78,2.0,6.125,61.0,372.3,119.0,21.0,32,15.6,50.832,92,21
Sep,2015,Nagaland,0,147,2.0,6.3611111110000005,72.44444444,300.9,119.0,21.0,32,15.6,50.832,90,21
Oct,2015,Nagaland,0,33,2.0,11.42857143,97.85714286,69.6,119.0,21.0,32,15.6,50.832,87,18
Nov,2015,Nagaland,0,14,2.0,8.84375,144.5,3.3,119.0,21.0,32,15.6,50.832,83,14
Dec,2015,Nagaland,0,11,2.0,9.791666667000001,170.54166669999998,0.1,119.0,21.0,32,15.6,50.832,81,11
Jan,2015,Odisha,0,111,5.1,19.30555556,108.85,9.9,270.0,1659.0,91,19.9,90.363,60,22
Feb,2015,Odisha,0,74,4.914772727,18.43181818,104.7102273,47.5,270.0,1659.0,91,19.9,90.363,63,25
Mar,2015,Odisha,0,37,4.829268293,18.43902439,95.34146341,22.9,270.0,1659.0,91,19.9,90.363,68,28
Apr,2015,Odisha,0,37,4.282722513,17.19371728,78.18324607,1.9,270.0,1659.0,91,19.9,90.363,72,31
May,2015,Odisha,0,74,4.236842105,17.51052632,79.51052632,98.2,270.0,1659.0,91,19.9,90.363,76,33
Jun,2015,Odisha,0,149,3.984848485,17.07575758,66.31818182,139.7,270.0,1659.0,91,19.9,90.363,73,32
Jul,2015,Odisha,0,354,3.983606557,17.12021858,66.40983607,321.3,270.0,1659.0,91,19.9,90.363,70,31
Aug,2015,Odisha,0,913,4.053571429,16.27380952,65.8452381,290.9,270.0,1659.0,91,19.9,90.363,71,31
Sep,2015,Odisha,1,1715,5.109243697,16.59243697,73.71008403,178.2,270.0,1659.0,91,19.9,90.363,63,30
Oct,2015,Odisha,1,391,5.704545455,17.40909091,86.80909091,44.9,270.0,1659.0,91,19.9,90.363,68,28
Nov,2015,Odisha,0,167,6.222222222,18.31111111,117.2311111,0.0,270.0,1659.0,91,19.9,90.363,66,25
Dec,2015,Odisha,0,130,5.965250965,18.66795367,108.7027027,1.2,270.0,1659.0,91,19.9,90.363,62,23
Jan,2015,Punjab,0,414,9.19047619,22.92395437,129.5018727,21.8,551.0,98.0,145,15.9,26.0917,55,11
Feb,2015,Punjab,0,276,8.545454545,23.04932735,122.50672649999998,20.1,551.0,98.0,145,15.9,26.0917,53,16
Mar,2015,Punjab,0,138,8.747311827999999,23.39631336,112.7123288,30.3,551.0,98.0,145,15.9,26.0917,55,19
Apr,2015,Punjab,0,138,8.631578947000001,22.80327869,118.97177420000001,24.5,551.0,98.0,145,15.9,26.0917,34,28
May,2015,Punjab,0,276,9.160550459,23.44609665,129.197026,20.8,551.0,98.0,145,15.9,26.0917,16,35
Jun,2015,Punjab,0,552,8.96039604,23.37656904,120.98353909999999,20.6,551.0,98.0,145,15.9,26.0917,17,36
Jul,2015,Punjab,0,1311,7.825870647,21.11965812,101.5611814,76.3,551.0,98.0,145,15.9,26.0917,26,34
Aug,2015,Punjab,2,3383,7.790393012999999,20.97718631,101.77443609999999,41.9,551.0,98.0,145,15.9,26.0917,49,32
Sep,2015,Punjab,2,6352,8.373684211,21.42424242,107.875,105.8,551.0,98.0,145,15.9,26.0917,57,30
Oct,2015,Punjab,9,1450,8.404494382000001,22.87939698,127.37185929999998,6.0,551.0,98.0,145,15.9,26.0917,44,27
Nov,2015,Punjab,0,621,8.390532544,23.56470588,139.1705882,0.7,551.0,98.0,145,15.9,26.0917,32,21
Dec,2015,Punjab,0,483,8.428571429,20.29761905,131.64940239999999,14.1,551.0,98.0,145,15.9,26.0917,33,15
Jan,2015,Rajasthan,0,226,8.010989011,34.74725275,194.90659340000002,29.1,200.0,2041.0,471,25.9,76.37,48,14
Feb,2015,Rajasthan,0,151,7.297619048,32.0,180.86309519999998,12.2,200.0,2041.0,471,25.9,76.37,34,20
Mar,2015,Rajasthan,0,75,7.045454545,30.24431818,156.747191,11.2,200.0,2041.0,471,25.9,76.37,31,25
Apr,2015,Rajasthan,0,75,7.104972376,30.14917127,192.0989011,15.7,200.0,2041.0,471,25.9,76.37,21,32
May,2015,Rajasthan,0,151,7.379120878999999,29.49450549,198.91758240000001,31.4,200.0,2041.0,471,25.9,76.37,15,36
Jun,2015,Rajasthan,0,302,6.889502762,26.25414365,127.4143646,37.4,200.0,2041.0,471,25.9,76.37,29,36
Jul,2015,Rajasthan,0,717,6.5494505489999995,26.71978022,98.37912088,291.2,200.0,2041.0,471,25.9,76.37,56,32
Aug,2015,Rajasthan,0,1851,6.057471264,26.32183908,81.55113636,330.6,200.0,2041.0,471,25.9,76.37,59,31
Sep,2015,Rajasthan,5,3476,6.094444444,28.33333333,115.43646409999998,221.6,200.0,2041.0,471,25.9,76.37,42,30
Oct,2015,Rajasthan,2,793,6.255434782999999,29.55978261,157.09239130000003,3.7,200.0,2041.0,471,25.9,76.37,27,29
Nov,2015,Rajasthan,0,340,7.0,33.02173913,201.40760869999997,0.2,200.0,2041.0,471,25.9,76.37,31,24
Dec,2015,Rajasthan,0,264,7.191489362,36.25531915,198.59574469999998,1.1,200.0,2041.0,471,25.9,76.37,32,17
Jan,2015,Sikkim,0,8,10.44262295,70.60655738,70.60655738,1.2,86.0,30.0,3,17.2,15.700999999999999,41,7
Feb,2015,Sikkim,0,5,10.34920635,69.19047619,69.19047619,21.0,86.0,30.0,3,17.2,15.700999999999999,43,10
Mar,2015,Sikkim,0,2,10.41176471,68.29411765,68.29411765,25.4,86.0,30.0,3,17.2,15.700999999999999,48,12
Apr,2015,Sikkim,0,2,10.75,56.83333333,56.83333333,49.6,86.0,30.0,3,17.2,15.700999999999999,54,15
May,2015,Sikkim,0,5,10.95,58.95,58.95,192.5,86.0,30.0,3,17.2,15.700999999999999,60,18
Jun,2015,Sikkim,0,11,10.61428571,49.37142857,49.37142857,268.3,86.0,30.0,3,17.2,15.700999999999999,69,19
Jul,2015,Sikkim,0,26,11.48611111,51.15277778,51.15277778,295.7,86.0,30.0,3,17.2,15.700999999999999,71,20
Aug,2015,Sikkim,0,68,10.49206349,37.87301587,37.87301587,372.3,86.0,30.0,3,17.2,15.700999999999999,74,20
Sep,2015,Sikkim,0,128,5.0,18.57142857,18.57142857,300.9,86.0,30.0,3,17.2,15.700999999999999,73,18
Oct,2015,Sikkim,0,29,8.444371991,24.77389165,24.77389165,69.6,86.0,30.0,3,17.2,15.700999999999999,59,16
Nov,2015,Sikkim,0,12,8.12222296,19.04326697,19.04326697,3.3,86.0,30.0,3,17.2,15.700999999999999,57,13
Dec,2015,Sikkim,0,9,7.800073929,13.31264229,7.087432416,0.1,86.0,30.0,3,17.2,15.700999999999999,48,8
Jan,2015,Tamil Nadu,5,626,10.47263682,22.10945274,56.65174129,7.4,555.0,1614.0,381,15.7,55.357,72,25
Feb,2015,Tamil Nadu,0,417,10.99563319,21.24454148,62.65502183,6.1,555.0,1614.0,381,15.7,55.357,70,25
Mar,2015,Tamil Nadu,0,208,11.46311475,20.61885246,61.979508200000005,8.1,555.0,1614.0,381,15.7,55.357,71,28
Apr,2015,Tamil Nadu,0,208,11.04910714,21.54464286,59.8,8.3,555.0,1614.0,381,15.7,55.357,66,30
May,2015,Tamil Nadu,0,417,10.56632653,22.84693878,57.08121827,139.1,555.0,1614.0,381,15.7,55.357,64,32
Jun,2015,Tamil Nadu,0,835,11.65294118,21.76470588,65.28235294,47.8,555.0,1614.0,381,15.7,55.357,64,31
Jul,2015,Tamil Nadu,0,1984,10.64974619,20.29441624,70.72222222,50.6,555.0,1614.0,381,15.7,55.357,69,31
Aug,2015,Tamil Nadu,0,5118,10.61965812,20.48290598,64.18723404,117.7,555.0,1614.0,381,15.7,55.357,70,30
Sep,2015,Tamil Nadu,0,9610,5.7826086960000005,16.60869565,33.13043478,98.9,555.0,1614.0,381,15.7,55.357,71,30
Oct,2015,Tamil Nadu,1,2193,10.67889908,22.46330275,62.42533937,252.2,555.0,1614.0,381,15.7,55.357,79,29
Nov,2015,Tamil Nadu,0,940,9.594117647000001,21.53571429,53.39428571,110.8,555.0,1614.0,381,15.7,55.357,79,27
Dec,2015,Tamil Nadu,0,731,9.628571428999999,20.39306358,62.31638418,66.0,555.0,1614.0,381,15.7,55.357,66,26
Jan,2015,Telangana,0,144,5.084745763,19.01694915,90.62359551,0.1,308.0,308.0,152,17.7,73.756,46,21
Feb,2015,Telangana,0,96,4.979381443,18.39175258,91.45876289,1.9,308.0,308.0,152,17.7,73.756,39,24
Mar,2015,Telangana,0,48,5.130208333,19.52083333,85.28645833,47.7,308.0,308.0,152,17.7,73.756,39,28
Apr,2015,Telangana,0,48,4.918032787,20.08743169,76.85245902,10.0,308.0,308.0,152,17.7,73.756,35,31
May,2015,Telangana,0,96,5.365591398,18.79032258,86.53191489,70.5,308.0,308.0,152,17.7,73.756,29,35
Jun,2015,Telangana,0,192,5.700854701,17.97435897,60.49579832,55.4,308.0,308.0,152,17.7,73.756,58,29
Jul,2015,Telangana,0,457,5.956521738999999,20.33695652,66.94565217,142.9,308.0,308.0,152,17.7,73.756,58,28
Aug,2015,Telangana,0,1179,5.4310344829999995,21.86206897,62.27118644,173.4,308.0,308.0,152,17.7,73.756,71,26
Sep,2015,Telangana,0,2215,6.132947977000001,22.75144509,70.47252747,126.8,308.0,308.0,152,17.7,73.756,71,26
Oct,2015,Telangana,2,505,5.612903226,22.61827957,88.81182796,43.3,308.0,308.0,152,17.7,73.756,59,26
Nov,2015,Telangana,0,216,5.10989011,21.51933702,92.33879781,12.0,308.0,308.0,152,17.7,73.756,62,24
Dec,2015,Telangana,0,168,5.475675676,22.26086957,90.35675676,1.5,308.0,308.0,152,17.7,73.756,52,23
Jan,2015,Tripura,0,3,36.0,5.0,154.9375,1.2,350.0,18.0,21,13.9,49.074,61,14
Feb,2015,Tripura,0,2,36.0,5.0,160.125,21.0,350.0,18.0,21,13.9,49.074,51,15
Mar,2015,Tripura,0,1,36.0,5.0,152.02777780000002,25.4,350.0,18.0,21,13.9,49.074,49,20
Apr,2015,Tripura,0,1,36.0,5.0,102.86111109999999,49.6,350.0,18.0,21,13.9,49.074,66,23
May,2015,Tripura,0,2,36.0,5.0,83.3125,192.5,350.0,18.0,21,13.9,49.074,71,25
Jun,2015,Tripura,0,4,36.0,5.0,59.91666667,268.3,350.0,18.0,21,13.9,49.074,72,25
Jul,2015,Tripura,0,10,36.0,10.0,62.05555556,295.7,350.0,18.0,21,13.9,49.074,83,24
Aug,2015,Tripura,0,27,36.0,6.125,61.0,372.3,350.0,18.0,21,13.9,49.074,80,24
Sep,2015,Tripura,0,52,36.0,6.3611111110000005,72.44444444,300.9,350.0,18.0,21,13.9,49.074,79,24
Oct,2015,Tripura,0,11,36.0,11.42857143,97.85714286,69.6,350.0,18.0,21,13.9,49.074,79,22
Nov,2015,Tripura,0,5,36.0,8.84375,144.5,3.3,350.0,18.0,21,13.9,49.074,71,18
Dec,2015,Tripura,0,3,36.0,9.791666667000001,170.54166669999998,0.1,350.0,18.0,21,13.9,49.074,65,14
Jan,2015,Uttar Pradesh,0,83,9.576086957000001,29.27792916,195.8301544,95.9,829.0,515.0,346,27.4,67.988,54,15
Feb,2015,Uttar Pradesh,0,55,10.54285714,29.18051948,188.3272727,55.3,829.0,515.0,346,27.4,67.988,47,20
Mar,2015,Uttar Pradesh,0,27,10.49347258,27.78590078,163.43576389999998,38.6,829.0,515.0,346,27.4,67.988,37,25
Apr,2015,Uttar Pradesh,0,27,10.42673522,26.87851662,171.61636830000003,7.1,829.0,515.0,346,27.4,67.988,26,32
May,2015,Uttar Pradesh,0,55,10.27748691,26.69072165,190.8946015,21.8,829.0,515.0,346,27.4,67.988,18,38
Jun,2015,Uttar Pradesh,0,110,9.638820639,24.79484029,165.42342340000002,69.6,829.0,515.0,346,27.4,67.988,32,37
Jul,2015,Uttar Pradesh,0,263,9.265789474,23.77879581,137.0519481,377.6,829.0,515.0,346,27.4,67.988,54,33
Aug,2015,Uttar Pradesh,3,679,9.86631016,23.62664908,138.460733,218.5,829.0,515.0,346,27.4,67.988,56,32
Sep,2015,Uttar Pradesh,1,1275,10.18987342,25.58,162.81791669999998,190.6,829.0,515.0,346,27.4,67.988,51,31
Oct,2015,Uttar Pradesh,4,291,11.27696793,28.85042735,191.2511804,89.2,829.0,515.0,346,27.4,67.988,38,28
Nov,2015,Uttar Pradesh,1,124,11.14876033,32.5890411,220.18306009999998,0.0,829.0,515.0,346,27.4,67.988,35,25
Dec,2015,Uttar Pradesh,0,97,11.20319635,32.43849658,229.58201060000002,24.2,829.0,515.0,346,27.4,67.988,38,19
Jan,2015,Uttarakhand,0,22,25.26470588,28.64705882,149.5227273,45.9,189.0,666.0,29,18.5,33.192,51,9
Feb,2015,Uttarakhand,0,15,25.16666667,28.23333333,154.30434780000002,99.9,189.0,666.0,29,18.5,33.192,49,13
Mar,2015,Uttarakhand,0,7,26.37931034,29.10344828,147.6545455,68.4,189.0,666.0,29,18.5,33.192,48,17
Apr,2015,Uttarakhand,0,7,26.51851852,29.92592593,151.96428569999998,37.6,189.0,666.0,29,18.5,33.192,37,22
May,2015,Uttarakhand,0,15,26.55263158,30.02631579,158.984127,52.9,189.0,666.0,29,18.5,33.192,25,28
Jun,2015,Uttarakhand,0,30,26.22222222,29.30769231,141.4716981,62.9,189.0,666.0,29,18.5,33.192,39,28
Jul,2015,Uttarakhand,0,72,25.66666667,29.08333333,108.5853659,462.7,189.0,666.0,29,18.5,33.192,75,25
Aug,2015,Uttarakhand,0,186,24.84210526,28.36842105,111.73333329999998,264.2,189.0,666.0,29,18.5,33.192,81,24
Sep,2015,Uttarakhand,0,350,25.26923077,27.69230769,125.8837209,107.9,189.0,666.0,29,18.5,33.192,64,23
Oct,2015,Uttarakhand,1,79,25.43333333,28.2,141.5535714,40.8,189.0,666.0,29,18.5,33.192,48,20
Nov,2015,Uttarakhand,0,34,25.32142857,28.32142857,156.75925930000002,0.0,189.0,666.0,29,18.5,33.192,44,16
Dec,2015,Uttarakhand,0,26,25.375,28.125,132.75,44.3,189.0,666.0,29,18.5,33.192,45,11
Jan,2015,West Bengal,0,1015,66.67272727,157.9636364,56.65174129,0.7,1028.0,1272.0,294,16.1,49.915,47,21
Feb,2015,West Bengal,0,677,66.04,139.545,62.65502183,41.9,1028.0,1272.0,294,16.1,49.915,45,24
Mar,2015,West Bengal,0,338,46.6367713,114.1210762,61.979508200000005,18.8,1028.0,1272.0,294,16.1,49.915,46,28
Apr,2015,West Bengal,0,338,39.10447761,87.44827586,59.8,1.7,1028.0,1272.0,294,16.1,49.915,58,31
May,2015,West Bengal,0,677,38.44495413,86.02752294,57.08121827,120.3,1028.0,1272.0,294,16.1,49.915,61,33
Jun,2015,West Bengal,0,1354,36.0,74.63181818,65.28235294,182.6,1028.0,1272.0,294,16.1,49.915,65,32
Jul,2015,West Bengal,0,3216,34.95890411,64.13242009,70.72222222,300.6,1028.0,1272.0,294,16.1,49.915,76,30
Aug,2015,West Bengal,1,8293,35.51690821,64.28985507,64.18723404,295.9,1028.0,1272.0,294,16.1,49.915,76,30
Sep,2015,West Bengal,1,15572,36.58421053,76.57894737,33.13043478,222.4,1028.0,1272.0,294,16.1,49.915,71,30
Oct,2015,West Bengal,5,3554,48.05633803,102.6774194,62.42533937,56.3,1028.0,1272.0,294,16.1,49.915,65,28
Nov,2015,West Bengal,2,1523,54.40816327,156.9795918,53.39428571,0.1,1028.0,1272.0,294,16.1,49.915,53,25
Dec,2015,West Bengal,1,1184,49.80874317,159.1038251,62.31638418,0.5,1028.0,1272.0,294,16.1,49.915,47,23
Jan,2016,Andhra Pradesh,0.0,132.0,7.5902271830462515,23.457362800934742,72.6465901947536,0.7,317.00777166672947,308.0,152.63941070166248,17.569963017170387,48.48180758683534,46.01441911058614,20.529481206622748
Feb,2016,Andhra Pradesh,0.0,88.0,7.450013986357128,19.635510295355168,75.59395789607895,1.2,308.69539339462426,308.0,153.29201409851277,19.012825634491424,47.864095045391686,41.83207836142366,23.767946774449683
Mar,2016,Andhra Pradesh,0.0,44.0,7.828553312677774,19.944162632860493,78.38362215891969,6.5,316.6495450252593,308.0,153.3909554576543,26.079489864049417,51.43935671740141,40.28398729908314,27.075692110392
Apr,2016,Andhra Pradesh,0.0,44.0,7.449988151113582,20.652994243765974,82.00353068478175,7.5,308.0257319578063,308.0,152.02247522094873,25.352366271077848,49.38118734092748,39.31146352466445,30.49165120618887
May,2016,Andhra Pradesh,0.0,88.0,7.849753854560316,21.455884070253283,76.18524408678441,84.8,313.52709875386194,308.0,152.1895923417122,17.86441045633384,47.227144359644385,29.203506986394355,34.29551652800643
Jun,2016,Andhra Pradesh,0.0,176.0,7.037524774751082,24.258204367880428,71.93094389496756,35.0,311.156080303247,308.0,153.3321633625556,20.81922099856935,47.1101798575723,68.98540203995762,28.59980895349159
Jul,2016,Andhra Pradesh,0.0,419.0,6.9370954387454,23.445362972404386,75.10510503441702,141.1,308.43798822749613,308.0,153.78265256961112,18.082944017057716,50.73935960631918,62.556714511067874,27.70271684930689
Aug,2016,Andhra Pradesh,0.0,1082.0,8.445811727422365,22.199115484153552,72.18854115638388,144.3,317.2392686389288,308.0,153.9994614892662,18.707595767487714,47.23367179034182,72.51004005894873,25.021017388679745
Sep,2016,Andhra Pradesh,0.0,2031.0,7.376106521344659,26.108779469807438,70.73404933948012,128.6,311.1450607033673,308.0,152.4788134148056,23.89190606970459,50.05368580850084,79.27857213601602,25.680695081434074
Oct,2016,Andhra Pradesh,2.0,463.0,6.850312208438769,26.376175836988907,82.4742656625815,160.8,315.2498559022764,308.0,153.5108740934722,25.884671734277443,48.5009097174534,63.544550288538474,25.428582808357515
Nov,2016,Andhra Pradesh,0.0,198.0,9.869646635428294,27.641087468278506,81.2322656308236,49.5,309.50338064251576,308.0,153.28123509696647,25.707502137926646,46.44261878979267,65.96347608097362,23.58638870431221
Dec,2016,Andhra Pradesh,0.0,154.0,7.678322695829058,27.84256098867023,75.13499777108701,17.5,308.57493064074777,308.0,153.92874871440551,21.96897529747436,51.164875968442416,61.539489741893085,22.026355292115987
Jan,2016,Arunachal Pradesh,0.0,0.0,3.8085557213460213,6.094584984674732,94.36807025444001,19.0,24.47202212676668,382.0,2.0079354445365496,31.915893666265205,61.442394260464496,50.37735837819778,13.75316839843493
Feb,2016,Arunachal Pradesh,0.0,0.0,3.9719626985998007,8.019732017814732,109.9497767452272,101.9,27.40630470105665,382.0,2.0922452934322355,20.57969701960911,61.9043589406435,37.152767682873,15.38352527934251
Mar,2016,Arunachal Pradesh,0.0,0.0,2.944873944536082,5.117061269492483,123.92608490341873,80.3,19.86047075492992,382.0,2.8187454454495917,27.530011579775397,61.32981346811476,46.66947233571922,18.922049793516468
Apr,2016,Arunachal Pradesh,0.0,0.0,3.019716165747165,7.896774118050448,81.69126994128877,86.7,31.03842801960573,382.0,3.675136343336242,27.61728217832745,62.00645406690717,57.05354694643076,19.324629148640916
May,2016,Arunachal Pradesh,0.0,0.0,5.976250888975807,8.397698363894538,95.14269354439874,299.0,19.103768395917495,382.0,2.9458102021469026,22.1939497686187,65.41828032435767,67.27655385168119,23.062080581738957
Jun,2016,Arunachal Pradesh,0.0,0.0,3.885070604022553,6.405750814762021,92.44707552211189,415.3,29.957660448161462,382.0,3.5335823736454053,20.296709739806232,61.08665270221769,62.985986114739234,24.633266519529304
Jul,2016,Arunachal Pradesh,0.0,1.0,4.664741939907182,9.809691463751985,91.05241489264286,392.4,24.49612984991361,382.0,2.8851642648862432,31.367378255985187,61.63029193076062,66.31513852395523,23.448418066973215
Aug,2016,Arunachal Pradesh,0.0,3.0,2.0104441875885897,7.1783987268206495,86.03460404013218,599.6,20.461524237434197,382.0,3.7146297609204324,29.910874444588984,62.92423757464119,80.32222641807627,23.33415610428709
Sep,2016,Arunachal Pradesh,1.0,7.0,6.5903196173428364,12.18066599763743,55.88176606554503,343.0,26.37837163077441,382.0,3.3503784579541027,28.822979829333242,63.0054324946885,79.87245391024888,23.5474432069712
Oct,2016,Arunachal Pradesh,0.0,1.0,6.6921063605168385,6.785170419440622,64.65790709574068,35.1,17.98293648115169,382.0,2.646413181433563,31.652088306276138,64.79390678321253,56.31370098755834,20.16083027104878
Nov,2016,Arunachal Pradesh,0.0,0.0,6.274032029262026,6.079399354057671,79.76385381252246,20.1,27.458791366085237,382.0,2.124131660922238,30.673327591199396,61.75341446618913,44.20735727606256,16.47244006439199
Dec,2016,Arunachal Pradesh,0.0,0.0,7.2652394361819725,9.59137752194218,106.26580920588864,10.2,27.83095168579113,382.0,3.4099377383563385,26.62130909254508,61.696183761465576,40.57204778865971,12.199605065624567
Jan,2016,Assam,0.0,135.0,8.356761344216476,16.928134518953378,74.93434076255805,19.0,404.8748010011247,985.0,36.04393165638327,23.04961697608413,68.89770653414969,72.44538537261688,17.59758172333673
Feb,2016,Assam,0.0,90.0,7.420147406969009,14.718242137138686,99.57504782962866,101.9,410.4523916136015,985.0,36.94092807325789,24.268280476127362,68.99451912260774,60.17954277377469,19.953796844725726
Mar,2016,Assam,0.0,45.0,10.160855540632616,15.69147977387596,166.25194108704846,80.3,398.09987441949784,985.0,36.870906593273986,29.15369790790286,70.02715933761532,55.689028148306576,23.685823892890273
Apr,2016,Assam,0.0,45.0,9.75903273844039,16.05674663846058,143.62596064317154,86.7,411.80913720428646,985.0,36.65513089030478,35.28588876545243,70.72898106214845,68.21734698419968,24.756946307512244
May,2016,Assam,0.0,90.0,6.855070414492592,15.876141634354028,96.74526212626658,299.0,412.04295114063103,985.0,35.92985487465281,23.385100955748417,69.18738484356932,69.11459967324781,26.36222746441557
Jun,2016,Assam,0.0,180.0,7.438490367594492,14.635496828963351,82.23417903737317,415.3,409.9702995084232,985.0,36.75217573391749,25.176534525927526,67.35561923112634,100.30345361739273,26.990452856971363
Jul,2016,Assam,0.0,428.0,7.463792775929311,13.888868448652705,78.2765488781433,392.4,409.8154567854508,985.0,36.5108880475338,28.18454617965157,71.11671692264345,98.70056840970146,26.839224691505965
Aug,2016,Assam,0.0,1103.0,7.616053426056474,13.679531174283651,77.3889547501212,599.6,409.5168239217168,985.0,35.0508017003669,25.40591343404849,66.51159999029483,98.80172420475573,26.826335330180367
Sep,2016,Assam,0.0,2072.0,7.235451127224456,14.22373411548135,77.63242999690979,343.0,412.398018996048,985.0,36.3093873921563,27.16150199894848,67.28509772285987,93.4707047606306,25.978758510391355
Oct,2016,Assam,1.0,473.0,7.41675827610865,17.297692160022294,91.17810065414733,35.1,404.9706722934545,985.0,36.56245097136432,25.914660861049676,69.18815411712441,94.0967154527361,23.817688177853345
Nov,2016,Assam,0.0,202.0,8.964475652270506,16.48965275541463,92.51955822585471,20.1,398.164454031323,985.0,36.96986190439388,27.696553513679902,70.4667348239496,92.33098917639326,19.17289526325325
Dec,2016,Assam,0.0,157.0,9.472330856968915,24.389947626422206,101.35977458962468,10.2,399.03502263929624,985.0,36.26566085115584,24.31518359912418,66.42283601339432,77.66554511584344,15.82784172567928
Jan,2016,Bihar,0.0,49.0,58.86018526709302,38.78842707993944,155.6624661676151,17.0,1112.4598486681639,565.0,107.21580925763661,28.227123781083755,66.00266489902232,62.02176863790847,16.809584139872207
Feb,2016,Bihar,0.0,33.0,61.32647047553476,38.99380524726376,171.57842779663918,33.5,1113.951004165069,565.0,106.5170111417161,33.587396516376714,67.44613735110468,48.74644408023555,20.675526251581683
Mar,2016,Bihar,0.0,16.0,60.64301029686669,37.45132250166503,182.18630088089265,8.4,1110.7133034734843,565.0,106.67123533853147,36.88996683287756,62.77532830497456,38.53989794833133,25.24950604196116
Apr,2016,Bihar,0.0,16.0,66.71015895557208,41.98104482891594,169.86808726505083,0.7,1108.007074095395,565.0,107.90255695844098,33.31130544352235,64.39679140642141,32.453707143706886,31.762483770479797
May,2016,Bihar,0.0,33.0,67.82934250206407,40.04339734323072,164.40895483071662,103.9,1122.655245053916,565.0,107.60168869483714,34.734212577129924,63.51978154987667,38.712989471089955,36.87159923709573
Jun,2016,Bihar,0.0,66.0,75.13519713711091,39.46889171347335,155.21413159823143,115.2,1114.9762637303515,565.0,106.77608439944453,37.02063474266137,64.4462575844433,46.13732349238609,32.49991707626356
Jul,2016,Bihar,0.0,157.0,76.0144274073385,37.39868688893439,109.61283615337726,265.4,1113.9448572256936,565.0,107.22104506270004,39.956360827284406,63.2525304864297,75.68591498994492,31.66927053534879
Aug,2016,Bihar,0.0,407.0,79.42079394156788,42.920696943003335,130.59212583492885,307.6,1110.5677875908277,565.0,107.75153032189212,38.59281814826239,63.3665234939153,73.98349303235999,29.45758547191107
Sep,2016,Bihar,0.0,764.0,81.29032589027217,42.09504239852119,126.4050809237869,160.3,1114.9416637954168,565.0,106.67590728402102,33.14394008860475,63.440766498708044,61.418899824647,26.525334190682738
Oct,2016,Bihar,0.0,174.0,65.10397889373975,40.70179997324093,201.1595390507818,47.8,1108.931293756708,565.0,106.31991900581386,30.616518194318388,64.7139654051931,54.845564481432746,26.896040744594497
Nov,2016,Bihar,0.0,74.0,65.14954550357383,39.07641437196896,221.05567116751956,0.0,1119.7291963425519,565.0,106.01594143697545,34.13367743913277,63.66695893548664,51.753250033871346,24.856731409689136
